Time,Disk-1,Disk-2,Disk-3,Disk-4,Disk-5,Disk-6,Disk-7,Disk-8,Disk-9,Disk-10,Disk-11,Disk-12,Disk-13,Disk-14,Disk-15,Disk-16,Disk-17,Disk-18,Disk-19,Disk-20,Total
37,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,6
38,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,6
39,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,6
40,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,6
41,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,6
42,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,6
43,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,6
44,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,5
45,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,6
46,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,6
47,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,6
48,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,6
49,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,6
50,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,6
51,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,6
52,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,6
53,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5
54,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5
55,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5
56,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5
57,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5
58,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5
59,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5
60,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,6
61,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,6
62,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4
63,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4
64,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5
65,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5
66,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5
67,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5
68,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5
69,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5
70,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5
71,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5
72,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
73,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
74,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
75,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
76,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
77,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
78,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5
79,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5
80,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4
81,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4
82,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4
83,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,6
84,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,6
85,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5
86,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5
87,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5
88,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5
89,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5
90,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5
91,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5
92,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,6
93,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,6
94,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,6
95,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,6
96,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,6
97,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,6
98,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,6
99,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,6
100,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,6
101,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,6
102,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,6
103,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,6
104,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,5
105,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,5
106,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,5
107,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,5
108,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,5
109,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,6
110,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,7
111,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,7
112,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,7
113,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,7
114,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,7
115,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,8
116,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,8
117,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,8
118,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,7
119,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,7
120,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,7
121,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,8
122,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,8
123,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,6
124,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,6
125,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,6
126,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,6
127,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,6
128,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,6
129,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,6
130,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,6
131,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,6
132,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,6
133,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,6
134,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,6
135,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,7
136,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,7
137,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,7
138,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,7
139,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,7
140,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,7
141,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,8
142,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,8
143,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,9
144,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,10
145,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,10
146,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,10
147,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,10
148,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,10
149,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,9
150,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,8
151,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,8
152,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,9
153,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,9
154,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,9
155,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,8
156,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,8
157,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,8
158,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,8
159,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,8
160,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,8
161,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,7
162,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,7
163,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,7
164,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,8
165,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,8
166,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,8
167,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,8
168,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,9
169,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,9
170,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,9
171,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,9
172,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,8
173,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,8
174,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,8
175,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,7
176,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,7
177,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,7
178,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,8
179,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,8
180,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,7
181,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6
182,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6
183,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,6
184,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,5
185,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,5
186,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,5
187,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,5
188,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,5
189,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,5
190,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,5
191,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,5
192,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,6
193,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,6
194,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,6
195,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,6
196,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,6
197,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,6
198,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,6
199,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,6
200,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,6
201,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,6
202,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,6
203,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,6
204,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,5
205,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,5
206,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,5
207,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,5
208,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,4
209,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,4
210,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,4
211,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,4
212,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,4
213,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,4
214,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,4
215,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,4
216,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,4
217,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,4
218,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3
219,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,4
220,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,4
221,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,4
222,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,4
223,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3
224,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3
225,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3
226,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3
227,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3
228,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3
229,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3
230,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3
231,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,4
232,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
233,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
234,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
235,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
236,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
237,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
238,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
239,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
240,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
241,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
242,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3
243,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3
244,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3
245,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3
246,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3
247,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3
248,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3
249,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3
250,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3
251,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3
252,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3
253,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3
254,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3
255,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,4
256,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,4
257,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,4
258,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,4
259,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3
260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3
261,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3
262,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3
263,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3
264,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3
265,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3
266,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3
267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3
268,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3
269,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3
270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3
271,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
272,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
273,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
274,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
275,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
276,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
277,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
278,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
279,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
291,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
292,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
293,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
294,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
295,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
296,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
297,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
298,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
299,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
300,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
301,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
302,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
303,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
304,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
305,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
306,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
307,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
308,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
309,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
310,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
311,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
